season,player,team
2025,Giannis Antetokounmpo,Milwaukee Bucks
2025,Nikola Jokic,Denver Nuggets
2025,Donovan Mitchell,Cleveland Cavaliers
2025,Jayson Tatum,Boston Celtics
2025,Shai Gilgeous-Alexander,Oklahoma City Thunder
2024,Giannis Antetokounmpo,Milwaukee Bucks
2024,Nikola Jokic,Denver Nuggets
2024,Luka Doncic,Dallas Mavericks
2024,Jayson Tatum,Boston Celtics
2024,Shai Gilgeous-Alexander,Oklahoma City Thunder
2023,Giannis Antetokounmpo,Milwaukee Bucks
2023,Joel Embiid,Philadelphia 76ers
2023,Luka Doncic,Dallas Mavericks
2023,Jayson Tatum,Boston Celtics
2023,Shai Gilgeous-Alexander,Oklahoma City Thunder
2022,Giannis Antetokounmpo,Milwaukee Bucks
2022,Nikola Jokic,Denver Nuggets
2022,Devin Booker,Phoenix Suns
2022,Luka Doncic,Dallas Mavericks
2022,Jayson Tatum,Boston Celtics
2021,Stephen Curry,Golden State Warriors
2021,Kawhi Leonard,LA Clippers
2021,Giannis Antetokounmpo,Milwaukee Bucks
2021,Nikola Jokic,Denver Nuggets
2021,Luka Doncic,Dallas Mavericks
2020,LeBron James,Los Angeles Lakers
2020,James Harden,Houston Rockets
2020,Anthony Davis,Los Angeles Lakers
2020,Giannis Antetokounmpo,Milwaukee Bucks
2020,Luka Doncic,Dallas Mavericks
2019,Stephen Curry,Golden State Warriors
2019,James Harden,Houston Rockets
2019,Paul George,Oklahoma City Thunder
2019,Giannis Antetokounmpo,Milwaukee Bucks
2019,Nikola Jokic,Denver Nuggets
2018,LeBron James,Cleveland Cavaliers
2018,Kevin Durant,Golden State Warriors
2018,James Harden,Houston Rockets
2018,Anthony Davis,New Orleans Pelicans
2018,Damian Lillard,Portland Trail Blazers
2017,LeBron James,Cleveland Cavaliers
2017,Russell Westbrook,Oklahoma City Thunder
2017,James Harden,Houston Rockets
2017,Kawhi Leonard,San Antonio Spurs
2017,Anthony Davis,New Orleans Pelicans
2016,LeBron James,Cleveland Cavaliers
2016,DeAndre Jordan,LA Clippers
2016,Russell Westbrook,Oklahoma City Thunder
2016,Stephen Curry,Golden State Warriors
2016,Kawhi Leonard,San Antonio Spurs
2015,LeBron James,Cleveland Cavaliers
2015,Marc Gasol,Memphis Grizzlies
2015,Stephen Curry,Golden State Warriors
2015,James Harden,Houston Rockets
2015,Anthony Davis,New Orleans Pelicans
2014,LeBron James,Miami Heat
2014,Chris Paul,LA Clippers
2014,Kevin Durant,Oklahoma City Thunder
2014,Joakim Noah,Chicago Bulls
2014,James Harden,Houston Rockets
2025,LeBron James,Los Angeles Lakers
