player,pos,age,exp,fa_type,signed_for_aav
Precious Achiuwa,F,25,5 yrs,ufa,
Steven Adams,C,32,11 yrs,ufa,
Santi Aldama,F-C,24,4 yrs,rfa,17500001
Trey Alexander,G,22,1 yrs,ufa,
Nickeil Alexander-Walker,G,26,6 yrs,ufa,15161800
Cole Anthony,G,25,5 yrs,ufa,
Taran Armstrong,G,23,0 yrs,rfa,
Deandre Ayton,C,27,7 yrs,ufa,
Marvin Bagley III,F,26,7 yrs,ufa,3080921
Dalano Banton,F,25,4 yrs,ufa,
Dominick Barlow,F,22,3 yrs,ufa,
Charles Bassey,C-F,24,4 yrs,ufa,
Emoni Bates,F,21,2 yrs,ufa,
Nicolas Batum,G-F,36,17 yrs,ufa,5741640
Bradley Beal,G,32,13 yrs,ufa,
Malik Beasley,G,28,9 yrs,ufa,
MarJon Beauchamp,F,24,3 yrs,ufa,
Reece Beekman,G,23,1 yrs,ufa,
Bismack Biyombo,C,32,14 yrs,ufa,
Bol Bol,C-F,25,6 yrs,ufa,
Brandon Boston,G,23,4 yrs,ufa,
Chris Boucher,F,32,8 yrs,ufa,
Tony Bradley,C-F,27,7 yrs,ufa,
Jalen Bridges,F,24,1 yrs,ufa,
Malcolm Brogdon,G,32,9 yrs,ufa,
Keion Brooks Jr.,F,24,1 yrs,ufa,
Bruce Brown,G-F,28,7 yrs,ufa,
Thomas Bryant,C-F,27,8 yrs,ufa,
Alec Burks,G,34,14 yrs,ufa,
Jared Butler,G,24,4 yrs,ufa,
Jamal Cain,F,26,3 yrs,ufa,
Clint Capela,C,31,11 yrs,ufa,7035000
Branden Carlson,C,26,1 yrs,rfa,
Jevon Carter,G,29,7 yrs,ufa,
Josh Christopher,G,23,3 yrs,ufa,
Jordan Clarkson,G,33,11 yrs,ufa,
Amir Coffey,G-F,28,6 yrs,ufa,
John Collins,F-C,27,8 yrs,ufa,
Pat Con0ughton,G,32,10 yrs,ufa,
Torrey Craig,F,34,8 yrs,ufa,
Isaiah Crawford,F,23,1 yrs,rfa,
Jae Crowder,F,35,13 yrs,ufa,
Seth Curry,G,34,11 yrs,ufa,
N'Faly Dante,C,23,1 yrs,rfa,
JD Davison,G,22,3 yrs,rfa,
Spencer Dinwiddie,G,32,11 yrs,ufa,3634153
Jeff Dowtin Jr.,G,28,4 yrs,ufa,
Andre Drummond,C,31,13 yrs,ufa,
Alex Ducas,G,24,1 yrs,ufa,
David Duke Jr.,G,25,4 yrs,ufa,
Kessler Edwards,F,24,4 yrs,ufa,
Jesse Edwards,C,25,1 yrs,rfa,
Justin Edwards,F,21,1 yrs,rfa,2358779
Keon Ellis,G,25,3 yrs,rfa,
Tyson Etienne,G,25,1 yrs,rfa,
Drew Eubanks,F-C,28,7 yrs,ufa,
Danté Exum,G,30,8 yrs,ufa,
Dorian Finney-Smith,F,32,9 yrs,ufa,13176250
Adam Flagler,G,25,2 yrs,ufa,
Trentyn Flowers,F,20,1 yrs,rfa,
Enrique Freeman,F,24,2 yrs,rfa,
Markelle Fultz,G,27,8 yrs,ufa,
Luka Garza,C,26,4 yrs,ufa,2631405
Taj Gibson,F,40,16 yrs,ufa,
Josh Giddey,G,22,4 yrs,rfa,
Collin Gillespie,G,26,2 yrs,rfa,2378870
Jordan Goodwin,G,26,5 yrs,ufa,
Eric Gordon,G,36,17 yrs,ufa,3634153
Javonte Green,G,32,6 yrs,ufa,
Jeff Green,F,38,17 yrs,ufa,3634153
Quentin Grimes,G,25,4 yrs,rfa,
PJ Hall,C,23,1 yrs,ufa,
Tim Hardaway Jr.,G-F,33,12 yrs,ufa,3634153
James Harden,G,35,16 yrs,ufa,
Gary Harris,G,30,11 yrs,ufa,3725007
Jaxson Hayes,C-F,25,6 yrs,ufa,3449323
Aaron Holiday,G,28,7 yrs,ufa,3080921
Jalen Hood-Schifino,G,22,2 yrs,ufa,
Al Horford,C-F,39,18 yrs,ufa,
Talen Horton-Tucker,G,24,6 yrs,ufa,
Caleb Houstan,G,22,3 yrs,ufa,
Ariel Hukporti,C,23,1 yrs,rfa,
Bones Hyland,G,24,4 yrs,ufa,
Joe Ingles,F-G,37,11 yrs,ufa,3634153
Harrison Ingram,F,22,1 yrs,rfa,
Kyrie Irving,G,33,14 yrs,ufa,39491282
Quenton Jackson,G,26,3 yrs,rfa,BA
Isaiah Jackson,F,23,4 yrs,rfa,7000000
LeBron James,F,40,22 yrs,ufa,
Daniss Jenkins,G,23,1 yrs,rfa,
Ty Jerome,G-F,28,6 yrs,ufa,9220050
James Johnson,F,38,16 yrs,ufa,
Keon Johnson,G,23,4 yrs,ufa,
Keshad Johnson,F,24,1 yrs,rfa,
Spencer Jones,F,24,1 yrs,rfa,
Tre Jones,G,25,5 yrs,ufa,8000000
Kai Jones,C-F,24,3 yrs,ufa,
Mason Jones,G,27,4 yrs,ufa,
Tyus Jones,G,29,10 yrs,ufa,7000000
Isaac Jones,F,25,1 yrs,rfa,
DeAndre Jordan,C,37,17 yrs,ufa,
Cory Joseph,G,33,14 yrs,ufa,
Johnny Juzang,G,24,4 yrs,ufa,
Yuki Kawamura,G,24,1 yrs,ufa,
Luke Ken0rd,G,29,8 yrs,ufa,11000000
Braxton Key,F,28,4 yrs,ufa,
Kevin Knox II,F,25,7 yrs,ufa,
Christian Koloko,C,25,2 yrs,rfa,
Luke Kornet,C-F,30,8 yrs,ufa,10175000
Jo0than Kuminga,F,22,4 yrs,rfa,
Jake LaRavia,F,23,3 yrs,ufa,6000000
Jock Landale,C,29,4 yrs,ufa,
Caris LeVert,G,30,9 yrs,ufa,14456600
Damion Lee,G-F,32,7 yrs,ufa,
Alex Len,C,32,12 yrs,ufa,
E.J. Liddell,F,24,2 yrs,ufa,
Damian Lillard,G,35,13 yrs,ufa,
Chris Livingston,F,21,2 yrs,ufa,
Kevon Looney,F,29,10 yrs,ufa,8000000
Brook Lopez,C,37,17 yrs,ufa,8968750
Kyle Lowry,G,39,19 yrs,ufa,3634153
Trey Lyles,F,29,10 yrs,ufa,
Sandro Mamukelashvili,F-C,26,4 yrs,ufa,2631405
Tre Mann,G,24,4 yrs,ufa,8000000
Cody Martin,F,29,7 yrs,ufa,
Tyrese Martin,F,26,2 yrs,rfa,
Garrison Mathews,G,28,6 yrs,ufa,
Mac McClung,G,26,3 yrs,rfa,
Kevin McCullar Jr.,G,24,1 yrs,rfa,
Doug McDermott,F,33,11 yrs,ufa,
Bryce McGowens,G,22,3 yrs,ufa,
Jordan McLaughlin,G,29,6 yrs,ufa,2874436
Jack McVeigh,G-F,29,1 yrs,ufa,
De'Anthony Melton,G,27,8 yrs,ufa,
Sam Merrill,G,29,5 yrs,ufa,9500000
Vasilije Micic,G,31,3 yrs,rfa,
Khris Middleton,F,33,13 yrs,ufa,
Emanuel Miller,F,25,1 yrs,rfa,
Patty Mills,G,36,16 yrs,ufa,
Shake Milton,G,28,8 yrs,ufa,
Justin Mi0ya,F,26,3 yrs,ufa,
Riley Minix,F,24,1 yrs,rfa,
Josh Minott,F,22,3 yrs,ufa,2481705
Ajay Mitchell,G,23,1 yrs,rfa,
